complex_name,compound_group,smiles,experimental_pKD,covalent,fragment_screen,pb_valid_prepared,pb_valid_ref,suspected_artefact,sucos_shape,pocket_qcov,sucos_shape_pocket_qcov
A71EV2A-x0152a,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,False,True,True,True,True,40.5843,71.4286,28.9888
A71EV2A-x0152b,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,False,True,False,False,False,45.6884,38.4615,17.5725
A71EV2A-x0188a,x0188a,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,,False,True,True,True,False,57.7371,22.2222,12.8305
A71EV2A-x0194a,x0194a,Fc1ccccc1CNC1CCOCC1,,False,True,True,True,False,35.873,25,8.9682
A71EV2A-x0202a,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,False,True,True,True,False,45.367,18.1818,8.2485
A71EV2A-x0202b,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,False,True,True,True,True,48.6278,25,12.1569
A71EV2A-x0207a,x0207a,Cc1cc(C(=O)NC[C@H]2CCOC2)on1,,False,True,True,True,False,43.2353,88.8889,38.4313
A71EV2A-x0228a,x0228a,CS(=O)(=O)N1CCC(O)CC1,,False,True,True,True,False,52.7159,71.4286,37.6542
A71EV2A-x0229a,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,False,True,True,True,True,45.3551,71.4286,32.3965
A71EV2A-x0229b,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,False,True,True,True,False,57.9793,22.2222,12.8843
A71EV2A-x0237a,x0237a,Cc1ccc(CNC(=O)C2CCC2)cn1,,False,True,True,True,False,54.4437,88.2353,48.0386
A71EV2A-x0239a,x0239a,CCC(=O)NCc1nnc2n1CCCC2,,False,True,True,True,False,56.3575,20,11.2715
A71EV2A-x0269a,x0269a,O=C(N[C@H]1CCCNC1)c1ccccc1,,False,True,True,True,True,44.4705,12.5,5.5588
A71EV2A-x0278b,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,False,True,True,True,False,56.2573,12.5,7.0322
A71EV2A-x0278a,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,False,True,True,True,True,43.846,71.4286,31.3186
A71EV2A-x0305a,x0305a,CNS(=O)(=O)c1cccc(C)c1F,,False,True,True,True,False,53.4089,22.2222,11.8687
