complex_name,compound_group,smiles,experimental_pKD,exclusion_reasons
A71EV2A-x0152a,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0152b,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,missing_experimental_pKD;absent_from_official_affinity_reference;reference_pose_fails_posebusters
A71EV2A-x0188a,x0188a,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0194a,x0194a,Fc1ccccc1CNC1CCOCC1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0202a,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0202b,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0207a,x0207a,Cc1cc(C(=O)NC[C@H]2CCOC2)on1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0228a,x0228a,CS(=O)(=O)N1CCC(O)CC1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0229a,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0229b,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0237a,x0237a,Cc1ccc(CNC(=O)C2CCC2)cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0239a,x0239a,CCC(=O)NCc1nnc2n1CCCC2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0269a,x0269a,O=C(N[C@H]1CCCNC1)c1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0278b,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0278a,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0305a,x0305a,CNS(=O)(=O)c1cccc(C)c1F,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0309a,x0309a,Cn1ccnc1-c1noc(C2CCC2)n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0310a,x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0332a,x0332a_x2458a,CNS(=O)(=O)c1ccccc1Cl,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0333a,x0333a,CS(=O)(=O)NCCc1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0351c,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0351a,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0351b,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0354a,x0354a,C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0359a,x0359a,CN(C)Cc1ccc(C#N)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0365a,x0365a,Cn1ccc(NCc2ccccc2)n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0375c,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0375a,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0375b,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0395a,x0395a_x0395b,CC(CO)(CO)NC(=O)Nc1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0395b,x0395a_x0395b,CC(CO)(CO)NC(=O)Nc1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0396a,x0396a,COCc1nnc(N)s1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0412a,x0412a,CCn1c(NC(C)=O)nc2ccccc21,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0416a,x0416a,Cc1ccc(NC(=O)[C@@H]2CCCO2)nc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0428a,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0432a,x0432a_x0900a,Nc1ccc(-c2ncno2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0437a,x0437a,CCNc1ccc(C)nn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0443a,x0443a,Cc1cn2ccccc2n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0446a,x0446a,CNC(=O)c1cnc(C)s1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0450a,x0450a,CN(C)C(=O)c1ccc(F)cc1Br,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0451a,x0451a_x3066a,CNC(=O)c1cn(C)c2ccccc12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0469a,x0469a,CC(C)N1CCN(c2ncccn2)CC1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0473a,x0473a,O=S(=O)(NC1CCCC1)C1CCOCC1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0486a,x0486a,CN(C)C(=O)Cn1ncc2ccccc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0487a,x0487a,CC(=O)Nc1ccncc1C,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0488a,x0488a,O=c1ccncn1CCO,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0497a,x0497a,N#Cc1n[nH]c2ccccc12,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0501a,x0501a_x0501b,COc1ccccc1-c1nnco1,,missing_experimental_pKD;absent_from_official_affinity_reference
