complex_name,compound_group,official_compound_group_id,metadata_smiles,benchmark_smiles,canonical_smiles,scaffold,experimental_pKD,fragment_screen,pb_valid_ref,source_ligand_ref_sdf,source_ligand_ref_sdf_sha256,ligand_pdb,ligand_pdb_sha256,atom_count,heavy_atom_count,formal_charge,maximum_coordinate_difference_angstrom
A71EV2A-x1346a,x1346a,a3866ff4171e01eb,Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,Cc1nn(C)c(C)c1CC(=O)N[C@H](CNC(=O)CCl)c1ccc2ccccc2c1 |&1:12|,Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,O=C(Cc1cn[nH]c1)NCc1ccc2ccccc2c1,4.660785023463071,False,True,structures/x1346a/A71EV2A-x1346a/A71EV2A-x1346a_ligand_ref.sdf,56e006b4cdf09bf57976974e020e8406ed2aad47e1155f955471a3b06a8bd8c2,raw/A71EV2A-x1346a.pdb,9e4ea50ef673f66ba7f339d633111664f9ef7ba3a8fae43d335876fe69977929,29,29,0,0.0
A71EV2A-x1445a,x1445a_x1445b,6f9b6f11503a9f29,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,COc1cc(NC(=O)C[C@H](C)C(F)(F)F)n(C)n1 |&1:9|,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,c1cn[nH]c1,4.632048101200719,False,True,structures/x1445a_x1445b/A71EV2A-x1445a/A71EV2A-x1445a_ligand_ref.sdf,ac72b5b2162c84d89dc143b92ec3cdef334e866e795e8e4cd461ed02af960460,raw/A71EV2A-x1445a.pdb,ecfa7c6943b3c5daa0cd5e912cf2c9fe2507180dec45b2af25b4d6e4bb1f5058,18,18,0,0.0
A71EV2A-x1445b,x1445a_x1445b,6f9b6f11503a9f29,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,COc1cc(NC(=O)C[C@H](C)C(F)(F)F)n(C)n1 |&1:9|,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,c1cn[nH]c1,4.632048101200719,False,True,structures/x1445a_x1445b/A71EV2A-x1445b/A71EV2A-x1445b_ligand_ref.sdf,fc3b7c88e19135cc854a8b66f751ca2c3ae2a2a4e5fa3a7629b950b4b2cee197,raw/A71EV2A-x1445b.pdb,08dd013cf3c9d2c93c6cb9cea61c751895cf6d549105911858a26ee00884927b,18,18,0,0.0
A71EV2A-x3054a,x3054a,8297277e2a124276,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:13|,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.246416941107094,False,True,structures/x3054a/A71EV2A-x3054a/A71EV2A-x3054a_ligand_ref.sdf,ecbc7d44d65038ae4e9c1164c8151188ed06140178448a5bc644eaa16dcc3dfb,raw/A71EV2A-x3054a.pdb,cc021afe82aa2cdd43941dc1744645b475497c53f1975919c074cf8bc41dde5e,19,19,0,0.0
A71EV2A-x3175a,x3175a,c01fc37bef6a2f7c,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,O=C(NCc1ccno1)c1c[nH]c2ccccc12,4.953569528330592,False,True,structures/x3175a/A71EV2A-x3175a/A71EV2A-x3175a_ligand_ref.sdf,fb904fa9c9bafd579741c6e6d38637f38cae1240f6818aa49d2caab9cba81d33,raw/A71EV2A-x3175a.pdb,bd9d447b60aa9ddc743e07eaba7f0c531e02472654acc07e71e0cff01973cd94,20,20,0,0.0
A71EV2A-x3176a,x3176a,4740c81d926a25fc,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12 |&1:3|,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,c1ccc2[nH]ncc2c1,4.747146969020107,False,True,structures/x3176a/A71EV2A-x3176a/A71EV2A-x3176a_ligand_ref.sdf,452908e7cf992424933cdd90c0a4a212288b128e2e0bc386dd44b294b2e94112,raw/A71EV2A-x3176a.pdb,3fb7545649b2afa56c865c235319d5c4588d26b893bd1726ebb8066f0b40ec9f,18,18,0,0.0
A71EV2A-x3177a,x3177a,f7672800b3cf5bf8,Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,"Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21 |&1:7,9|",Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,O=C(NC1CC1)c1n[nH]c2ccccc12,4.8958754625504275,False,True,structures/x3177a/A71EV2A-x3177a/A71EV2A-x3177a_ligand_ref.sdf,dc3131c3dd532075200962b8f5bd953d335e3733bc1b550e2b117f326966a66a,raw/A71EV2A-x3177a.pdb,06fe9a5a1850e40e9a897ad1d0792bc0f175ba388352b08e7badb47daaa677a0,18,18,0,0.0
A71EV2A-x3178a,x3178a,64fb96f3053165a6,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21 |&1:7|,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,O=C(N[C@H]1CCOC1)c1n[nH]c2ccccc12,5.062339877849264,False,True,structures/x3178a/A71EV2A-x3178a/A71EV2A-x3178a_ligand_ref.sdf,c41c6000cd805f0ffca6af6c735ada410aea5f0471b1350617dc2c62332a8809,raw/A71EV2A-x3178a.pdb,27112112191d282c1e468086ffdcf47fb8063148a6ae06ea4fdab85e579d2010,18,18,0,0.0
A71EV2A-x3181a,x3181a_x3181b,b80371c20e0126e9,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,O=C(NCCn1cncn1)c1n[nH]c2ccccc12,4.939565029910406,False,True,structures/x3181a_x3181b/A71EV2A-x3181a/A71EV2A-x3181a_ligand_ref.sdf,7837e8845e1057b30ef26d84fffb0a5c111abe074dd932e184ad5ca9954a17bd,raw/A71EV2A-x3181a.pdb,9482559f522a01666f65c9e3e44caf486323ac3d4b5fe76d911a1a86efbaa80c,20,20,0,0.0
A71EV2A-x3181b,x3181a_x3181b,b80371c20e0126e9,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,O=C(NCCn1cncn1)c1n[nH]c2ccccc12,4.939565029910406,False,True,structures/x3181a_x3181b/A71EV2A-x3181b/A71EV2A-x3181b_ligand_ref.sdf,98f866e120bc2ac30fd109bcbbe30df47df8435e8c5c3216c3282fba64d01eb9,raw/A71EV2A-x3181b.pdb,1b1741db83e6d177d9853a390c3f43a36061affb020c148c762f460c3eae2ef0,20,20,0,0.0
