complex_name,graph_file,sha256,nodes,local_edges,line_nodes,line_edges,coulomb_nodes,coulomb_edges
A71EV2A-x1346a,processed/A71EV2A-x1346a.bin,e6f14919f5f65c8811257bf44dcafd01e9aa8af4294137e23a166f6a15d6db55,29,348,348,4176,29,812
A71EV2A-x1445a,processed/A71EV2A-x1445a.bin,022f5d043eea63ec0bcd18732db512fc683e0ebce7995b712d3d0f40b12d5608,18,214,214,2554,18,306
A71EV2A-x1445b,processed/A71EV2A-x1445b.bin,bf371f9c1ea6b1fd443395556fa36ff05b99e636d58c86d0a49cc28155c400e8,18,214,214,2558,18,306
A71EV2A-x3054a,processed/A71EV2A-x3054a.bin,9c5dd58ace0ce3b61b30ba91f1905d4298b3d5b1fad52119544caa2358dc7408,19,228,228,2736,19,342
A71EV2A-x3175a,processed/A71EV2A-x3175a.bin,265f6e204b52792ad74b548fa13b19b8840396c83db60d6e8eced78af5a12a50,20,238,238,2844,20,380
A71EV2A-x3176a,processed/A71EV2A-x3176a.bin,3e9a18e4af95e95d3b6c8b312e643e2a67641723e1080a8462530e5928b49b85,18,216,216,2592,18,306
A71EV2A-x3177a,processed/A71EV2A-x3177a.bin,c5ef72e16438dac3fc389c8b8a5fd4322a45b397ada558e4cefa527e4b818539,18,216,216,2592,18,306
A71EV2A-x3178a,processed/A71EV2A-x3178a.bin,4a4f71e2e1d2544589d446057526a68a0d9cdb1f4ef3242e3e8e4a379d8af758,18,216,216,2592,18,306
A71EV2A-x3181a,processed/A71EV2A-x3181a.bin,6204df60deb1134d625f433c553b74ea28121a5c7e811a372b25673c5882e805,20,240,240,2880,20,380
A71EV2A-x3181b,processed/A71EV2A-x3181b.bin,e72765b889d2a869f01d5400f9688c54405275efe4216f96ee85307c6c9b4847,20,240,240,2880,20,380
A71EV2A-x3191a,processed/A71EV2A-x3191a.bin,98852acdf47f2c369de099e78f20c6eac002455f2785a88b3aa758f0c95523ce,21,252,252,3024,21,420
A71EV2A-x3193a,processed/A71EV2A-x3193a.bin,498126820032b5d2fded3049183fe239f0758b8b425d9bd8a55516cc372466d0,20,240,240,2880,20,380
A71EV2A-x3201a,processed/A71EV2A-x3201a.bin,caa997a31d12ea6fc46a97ab0d266c2bcc73690ea4a4add658f271dd88f18ad2,20,240,240,2880,20,380
