complex_name,official_compound_group_id,canonical_smiles,scaffold,experimental_pKD,split,split_method,seed
A71EV2A-x1346a,a3866ff4171e01eb,Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,O=C(Cc1cn[nH]c1)NCc1ccc2ccccc2c1,4.660785023463071,test,scaffold,123
A71EV2A-x1445a,6f9b6f11503a9f29,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,c1cn[nH]c1,4.632048101200719,train,scaffold,123
A71EV2A-x1445b,6f9b6f11503a9f29,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,c1cn[nH]c1,4.632048101200719,train,scaffold,123
A71EV2A-x3054a,8297277e2a124276,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.246416941107094,train,scaffold,123
A71EV2A-x3175a,c01fc37bef6a2f7c,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,O=C(NCc1ccno1)c1c[nH]c2ccccc12,4.953569528330592,train,scaffold,123
A71EV2A-x3176a,4740c81d926a25fc,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,c1ccc2[nH]ncc2c1,4.747146969020107,train,scaffold,123
A71EV2A-x3177a,f7672800b3cf5bf8,Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,O=C(NC1CC1)c1n[nH]c2ccccc12,4.8958754625504275,test,scaffold,123
A71EV2A-x3178a,64fb96f3053165a6,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,O=C(N[C@H]1CCOC1)c1n[nH]c2ccccc12,5.062339877849264,train,scaffold,123
A71EV2A-x3181a,b80371c20e0126e9,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,O=C(NCCn1cncn1)c1n[nH]c2ccccc12,4.939565029910406,train,scaffold,123
A71EV2A-x3181b,b80371c20e0126e9,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,O=C(NCCn1cncn1)c1n[nH]c2ccccc12,4.939565029910406,train,scaffold,123
A71EV2A-x3191a,fb62ba5201e38712,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,O=C(Cc1cccc2occc12)N1CCCCC1,3.960269771303526,train,scaffold,123
